32768, 32569, 0.000000
32568, 32369, -0.053177
32368, 32169, -0.106681
32168, 31969, -0.160517
31968, 31769, -0.214689
31768, 31569, -0.269201
31568, 31369, -0.324057
31368, 31169, -0.379262
31168, 30969, -0.434820
30968, 30769, -0.490736
30768, 30569, -0.547013
30568, 30369, -0.603658
30368, 30169, -0.660675
30168, 29969, -0.718068
29968, 29769, -0.775843
29768, 29569, -0.834006
29568, 29369, -0.892560
29368, 29169, -0.951511
29168, 28969, -1.010866
28968, 28769, -1.070628
28768, 28569, -1.130805
28568, 28369, -1.191402
28368, 28169, -1.252424
28168, 27969, -1.313878
27968, 27769, -1.375770
27768, 27569, -1.438107
27568, 27369, -1.500893
27368, 27169, -1.564137
27168, 26969, -1.627845
26968, 26769, -1.692024
26768, 26569, -1.756680
26568, 26369, -1.821821
26368, 26169, -1.887455
26168, 25969, -1.953588
25968, 25769, -2.020229
25768, 25569, -2.087384
25568, 25369, -2.155064
25368, 25169, -2.223274
25168, 24969, -2.292025
24968, 24769, -2.361324
24768, 24569, -2.431180
24568, 24369, -2.501603
24368, 24169, -2.572601
24168, 23969, -2.644184
23968, 23769, -2.716363
23768, 23569, -2.789146
23568, 23369, -2.862544
23368, 23169, -2.936568
23168, 22969, -3.011228
22968, 22769, -3.086535
22768, 22569, -3.162501
22568, 22369, -3.239137
22368, 22169, -3.316456
22168, 21969, -3.394468
21968, 21769, -3.473188
21768, 21569, -3.552628
21568, 21369, -3.632801
21368, 21169, -3.713721
21168, 20969, -3.795402
20968, 20769, -3.877859
20768, 20569, -3.961105
20568, 20369, -4.045157
20368, 20169, -4.130031
20168, 19969, -4.215742
19968, 19769, -4.302307
19768, 19569, -4.389744
19568, 19369, -4.478070
19368, 19169, -4.567303
19168, 18969, -4.657463
18968, 18769, -4.748568
18768, 18569, -4.840639
18568, 18369, -4.933696
18368, 18169, -5.027761
18168, 17969, -5.122856
17968, 17769, -5.219004
17768, 17569, -5.316228
17568, 17369, -5.414552
17368, 17169, -5.514002
17168, 16969, -5.614605
16968, 16769, -5.716386
16768, 16569, -5.819373
16568, 16369, -5.923597
16368, 16169, -6.029086
16168, 15969, -6.135873
15968, 15769, -6.243988
15768, 15569, -6.353466
15568, 15369, -6.464342
15368, 15169, -6.576652
15168, 14969, -6.690432
14968, 14769, -6.805723
14768, 14569, -6.922565
14568, 14369, -7.041000
14368, 14169, -7.161072
14168, 13969, -7.282828
13968, 13769, -7.406314
13768, 13569, -7.531582
13568, 13369, -7.658682
13368, 13169, -7.787670
13168, 12969, -7.918602
12968, 12769, -8.051539
12768, 12569, -8.186541
12568, 12369, -8.323675
12368, 12169, -8.463009
12168, 11969, -8.604615
11968, 11769, -8.748567
11768, 11569, -8.894946
11568, 11369, -9.043833
11368, 11169, -9.195317
11168, 10969, -9.349491
10968, 10769, -9.506450
10768, 10569, -9.666298
10568, 10369, -9.829143
10368, 10169, -9.995099
10168,  9969, -10.164288
 9968,  9769, -10.336838
 9768,  9569, -10.512886
 9568,  9369, -10.692575
 9368,  9169, -10.876061
 9168,  8969, -11.063507
 8968,  8769, -11.255087
 8768,  8569, -11.450988
 8568,  8369, -11.651410
 8368,  8169, -11.856565
 8168,  7969, -12.066684
 7968,  7769, -12.282012
 7768,  7569, -12.502814
 7568,  7369, -12.729376
 7368,  7169, -12.962006
 7168,  6969, -13.201039
 6968,  6769, -13.446836
 6768,  6569, -13.699792
 6568,  6369, -13.960336
 6368,  6169, -14.228938
 6168,  5969, -14.506111
 5968,  5769, -14.792422
 5768,  5569, -15.088494
 5568,  5369, -15.395014
 5368,  5169, -15.712749
 5168,  4969, -16.042549
 4968,  4769, -16.385367
 4768,  4569, -16.742274
 4568,  4369, -17.114477
 4368,  4169, -17.503346
 4168,  3969, -17.910444
 3968,  3769, -18.337565
 3768,  3569, -18.786781
 3568,  3369, -19.260502
 3368,  3169, -19.761557
 3168,  2969, -20.293295
 2968,  2769, -20.859721
 2768,  2569, -21.465677
 2568,  2369, -22.117098
 2368,  2169, -22.821365
 2168,  1969, -23.587813
 1968,  1769, -24.428497
 1768,  1569, -25.359353
 1568,  1369, -26.402078
 1368,  1169, -27.587277
 1168,   969, -28.960142
  968,   769, -30.591492
  768,   569, -32.601774
  568,   369, -35.222032
  368,   169, -38.992042
  168,   -31, -45.802813
